"","past_pat_year","past_pat","pasture_id","patch_id","year","HESP_1","HESP_2","HESP_3","HESP_4","HESP_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"103","PAW_E_2009","PAW_E","PAW","E",2009,1,2,1,2,2,0.38,0.63,0.38,0.13,0.38,1,4,2,2,1,147,162,168,180,187,7.35,7.35,6.96666666666667,7.16666666666667,9.26666666666667,"EH","SR","JO","FP","EH",4.5,449.85
"104","PAW_E_2011","PAW_E","PAW","E",2011,0,0,0,0,1,0.38,0.63,0.88,0.63,0.13,3,3,4,4,4,144,155,164,172,183,7.96666666666667,7.78333333333333,7.76666666666667,8.65,7.85,"SR","SR","SR","CP","CP",3,300
"105","PAW_E_2014","PAW_E","PAW","E",2014,1,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,7.7,7.61,7.59,7.79,7.82,"ORG",NA,NA,NA,NA,3,300
"106","PAW_E_2015","PAW_E","PAW","E",2015,2,0,0,0,0,0.88,0.63,0.38,0.13,0.63,2,4,2,2,2,149,158,172,203,215,8.4,8.51666666666667,9.35,7.13333333333333,7.51666666666667,"BSV","BSV","BSV","SR","BSV",3,300
"107","PAW_S_2007","PAW_S","PAW","S",2007,3,1,0,4,2,0.13,0.13,0.88,0.38,0.13,1,3,3,2,2,141,149,169,176,186,6.56666666666667,8.31666666666667,8.4,6.43333333333333,8.38333333333333,"JF","FP","JF","FP","JF",4.09,409.16
"108","PAW_S_2009","PAW_S","PAW","S",2009,1,0,1,3,1,0.38,0.88,0.13,0.13,0.38,1,4,1,2,1,147,162,168,180,187,6.66666666666667,6.98333333333333,6.91666666666667,6.75,8.85,"EH","SR","EH","FP","EH",4.09,409.16
"109","PAW_S_2011","PAW_S","PAW","S",2011,0,1,0,0,1,0.38,0.63,0.88,0.63,0.13,3,3,4,4,4,144,155,162,172,183,7.46666666666667,7.28333333333333,7.18333333333333,8.1,7.4,"SR","SR","CP","CP","CP",3,300
"110","PAW_S_2012","PAW_S","PAW","S",2012,2,1,1,0,1,0.88,0.13,0.38,0.38,0.13,4,2,2,2,4,141,151,160,167,180,8.16666666666667,6.76666666666667,8.4,8.45,6.83333333333333,"CD","SR","CD","SR","CD",3,300
"111","PAW_S_2014","PAW_S","PAW","S",2014,1,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,6.33333333333333,7.61,7.59,7.79,7.82,"ORG",NA,NA,NA,NA,3,300
"112","PAW_S_2015","PAW_S","PAW","S",2015,3,1,0,1,0,0.88,0.63,0.38,0.13,0.38,2,4,2,2,2,149,158,172,203,215,7.63333333333333,7.83333333333333,8.78333333333333,6.58333333333333,6.88333333333333,"BSV","BSV","BSV","SR","BSV",3,300
"113","PAW_S_2016","PAW_S","PAW","S",2016,1,0,0,0,1,0.38,0.13,0.38,0.13,0.38,3,1,1,3,2,152,167,179,192,217,8.51666666666667,6.8,7.75,8.18333333333333,6.96666666666667,"SBN","JJC","SBN","SR","ACW",3,300
"114","PAW_S_2017","PAW_S","PAW","S",2017,1,0,0,0,0,0.13,0.13,0.13,0.38,0.13,1,1,2,3,2,151,160,176,188,203,6.46666666666667,6.31666666666667,8.21666666666667,8.33333333333333,8.73333333333333,"JJC","ALL","JD","ALL","JJC",3,300
"115","PAW_S_2018","PAW_S","PAW","S",2018,2,0,0,2,1,0.13,0.13,0.88,0.38,0.13,2,1,3,1,3,147,159,173,188,201,6.6,7.76666666666667,7.73333333333333,6.46666666666667,6.96666666666667,"JJC","BJE","TMS","TMS","JJC",3,300
"116","PAW_W_2007","PAW_W","PAW","W",2007,0,1,0,1,0,0.13,0.13,0.88,0.38,0.13,1,3,3,2,2,141,149,169,176,186,6.53333333333333,8.41666666666667,8.65,6.38333333333333,8.45,"CW","FP","JF","CW","FP",4.04,403.73
"117","PAW_W_2009","PAW_W","PAW","W",2009,2,0,1,0,1,0.38,0.88,0.13,0.13,0.38,1,4,1,2,1,147,162,168,180,187,6.93333333333333,7.15,7.16666666666667,7,9.01666666666667,"EH","SR","EH","FP","EH",4.04,403.73
"118","PAW_W_2010","PAW_W","PAW","W",2010,0,0,0,1,1,0.13,0.38,0.13,0.13,0.63,1,1,3,2,3,145,152,181,190,196,6.96666666666667,7.01666666666667,8.38333333333333,6.91666666666667,7.28333333333333,"SR","SR","SR","SR","SR",3,300
"119","PAW_W_2011","PAW_W","PAW","W",2011,2,2,1,0,1,0.38,0.63,0.88,0.63,0.13,3,3,4,4,4,144,155,164,172,183,7.65,7.45,7.41666666666667,8.28333333333333,7.56666666666667,"SR","SR","SR","CP","CP",3,300
"120","PAW_W_2012","PAW_W","PAW","W",2012,1,2,1,0,0,0.88,0.13,0.38,0.38,0.13,4,2,2,2,3,143,151,160,167,180,8.38333333333333,7.05,8.58333333333333,8.65,7.01666666666667,"CD","SR","CD","SR","CD",3,300
"121","PAW_W_2014","PAW_W","PAW","W",2014,2,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,6.75,7.61,7.59,7.79,7.82,"ORG",NA,NA,NA,NA,3,300
"122","PAW_W_2015","PAW_W","PAW","W",2015,1,0,0,1,1,0.88,0.63,0.38,0.13,0.63,3,4,2,2,2,148,158,172,203,215,7.9,8.13333333333333,9,6.78333333333333,7.1,"BSV","BSV","BSV","SR","BSV",3,300
"123","PAW_W_2016","PAW_W","PAW","W",2016,1,2,0,1,1,0.38,0.13,0.38,0.13,0.38,4,1,1,3,2,152,167,179,192,217,8.78333333333333,7.18333333333333,8.15,8.33333333333333,7.48333333333333,"SBN","JJC","SBN","SR","ACW",3,300
"124","PAW_W_2018","PAW_W","PAW","W",2018,1,1,3,2,1,0.13,0.13,0.88,0.13,0.13,1,1,3,1,3,147,159,173,188,201,6.98333333333333,7.95,7.88333333333333,6.93333333333333,7.2,"JJC","BJE","TMS","TMS","JJC",3,300
"125","PYN_S_2007","PYN_S","PYN","S",2007,0,1,0,0,0,0.13,0.13,0.38,0.88,0.13,2,3,3,2,3,141,149,163,169,176,9.06666666666667,7.08333333333333,6.38333333333333,7,8.58333333333333,"CB","FP","JF","FP","CW",3.89,389
"126","PYN_S_2008","PYN_S","PYN","S",2008,0,0,0,2,0,0.63,0.13,0.63,0.63,0.13,2,1,5,1,1,136,142,148,161,191,7.1,7.95,8.2,6.96666666666667,7,"CW","JF","CW","CW","CW",3.89,389
"127","PYN_S_2011","PYN_S","PYN","S",2011,2,0,1,0,0,0.38,0.13,0.13,0.88,0.13,4,4,4,4,1,140,154,158,171,182,8.58333333333333,8.15,9.28333333333333,7.73333333333333,7.93333333333333,"CP","SR","CP","SR","CD",3,300
"128","PYN_S_2017","PYN_S","PYN","S",2017,1,0,0,0,0,0.38,0.13,0.13,0.88,0.13,1,1,3,1,2,152,160,175,192,201,7.46666666666667,9.26666666666667,8.81666666666667,6.51666666666667,7.38333333333333,"ALL","JJC","ALL","JD","ALL",3,300
"129","PYN_W_2007","PYN_W","PYN","W",2007,0,1,1,0,0,0.13,0.13,0.13,0.88,0.13,2,1,3,3,3,141,149,163,169,176,8.6,6.86666666666667,6.33333333333333,7.63333333333333,7.71666666666667,"CB","CB","CW","FP","CW",5.04,504.05
"130","PYN_W_2012","PYN_W","PYN","W",2012,1,0,0,1,0,0.63,0.38,0.13,0.63,0.38,4,3,2,3,4,141,148,158,167,178,7.61666666666667,7.23333333333333,7.7,7.55,8.4,"TL","CD","SR","CD","SR",3,300
"131","PYN_W_2013","PYN_W","PYN","W",2013,0,0,0,0,2,0.13,0.13,0.38,0.13,0.88,2,1,3,3,3,137,154,163,177,188,7.6,7.76666666666667,7.58333333333333,9.58333333333333,7.35,"CD","AM","AM","AM","AM",3,300
"132","PYS_N_2007","PYS_N","PYS","N",2007,0,0,1,0,0,0.13,0.88,0.13,0.13,0.13,2,2,2,1,2,141,150,155,166,176,6.35,7.31666666666667,6.55,6.71666666666667,8.16666666666667,"CB","CB","cb","JF","JF",3.69,369.33
"133","PYS_N_2011","PYS_N","PYS","N",2011,2,0,0,1,0,0.63,0.13,0.13,0.63,0.13,4,4,4,4,2,139,154,158,171,182,8.08333333333333,9.65,8.41666666666667,8.86666666666667,6.9,"SR","CD","CP","SR","CD",3,300
"134","PYS_N_2013","PYS_N","PYS","N",2013,0,0,0,0,1,0.63,0.13,0.38,0.13,0.63,3,3,3,3,3,137,154,163,177,188,8.83333333333333,9.4,9.48333333333333,9.56666666666667,9.38333333333333,"CD","SR","AM","SR","AM",3,300
"135","PYS_N_2016","PYS_N","PYS","N",2016,1,3,1,1,0,0.13,0.38,0.13,0.63,0.13,2,3,1,3,2,151,168,179,194,216,8.51666666666667,9.13333333333333,8.26666666666667,9.71666666666667,9.46666666666667,"SR","SBN","JJC","ACW","JJC",3,300
"136","PYS_N_2017","PYS_N","PYS","N",2017,0,1,0,0,3,0.38,0.13,0.13,0.13,0.13,3,3,3,2,2,149,163,175,189,201,8.08333333333333,8.2,9.83333333333333,8.05,8.66666666666667,"SR","JD","ALL","SR","JJC",3,300
"137","PYS_S_2007","PYS_S","PYS","S",2007,0,1,0,0,0,0.13,0.88,0.13,0.13,0.13,3,2,2,1,2,142,150,155,166,176,6.35,6.73333333333333,6.28333333333333,6.08333333333333,7.6,"JF","CB","FP","JF","JF",3.37,337
"138","PYS_S_2008","PYS_S","PYS","S",2008,2,0,0,0,0,0.38,0.13,0.63,0.88,0.38,4,1,1,2,2,129,142,147,160,177,8.5,8.5,8.48333333333333,7.36666666666667,8.45,"JF","JF","CW","JF","JF",3.37,337
"139","PYS_S_2010","PYS_S","PYS","S",2010,0,0,0,0,1,0.13,0.13,0.63,0.63,0.63,1,1,2,3,3,139,149,158,174,189,6.75,8.01666666666667,7.13333333333333,8.26666666666667,7.75,"TL","TL","SR","SR","TH",3,300
"140","PYS_S_2015","PYS_S","PYS","S",2015,0,0,1,0,0,0.88,0.13,0.38,0.63,0.13,2,2,3,3,1,143,159,171,196,213,7.16666666666667,7.16666666666667,6.33333333333333,8.86666666666667,6.95,"BSV","BSV","SR","SBN","SR",3,300
"141","PYS_S_2016","PYS_S","PYS","S",2016,1,0,0,0,0,0.13,0.38,0.38,0.88,0.13,2,3,1,3,2,151,168,179,194,216,7.78333333333333,9.3,7.8,8.85,9.01666666666667,"SR","SBN","JJC","ACW","JJC",3,300
"142","PYS_W_2007","PYS_W","PYS","W",2007,0,0,1,0,0,0.13,0.88,0.13,0.13,0.13,2,2,2,1,2,141,150,155,166,176,6.81666666666667,7,6.65,6.4,7.85,"CB","CB","FP","JF","JF",3.97,397.03
"143","PYS_W_2011","PYS_W","PYS","W",2011,0,0,0,1,0,0.63,0.13,0.13,0.63,0.13,4,4,4,4,2,139,154,158,171,182,7.63333333333333,9.33333333333333,8.25,8.56666666666667,6.63333333333333,"SR","CD","CP","SR","CD",3,300
"144","PYS_W_2017","PYS_W","PYS","W",2017,2,1,1,2,5,0.63,0.13,0.13,0.13,0.13,3,3,3,2,2,149,163,175,189,201,7.81666666666667,7.93333333333333,9.6,7.46666666666667,8.35,"SR","JD","ALL","SR","JJC",3,300
"145","PYS_W_2018","PYS_W","PYS","W",2018,1,0,0,0,0,0.63,0.88,0.63,0.13,0.63,3,2,1,4,3,145,160,174,188,199,9.08333333333333,8.41666666666667,9.45,9.05,8.78333333333333,"JJC","TMS","JJC","BJE","TMS",3,300
"146","PYW_C_2011","PYW_C","PYW","C",2011,1,0,0,0,0,0.63,0.13,0.38,0.38,0.13,2,4,4,4,1,139,154,162,171,182,9.1,6.9,8.8,9.46666666666667,8.76666666666667,"SR","SR","CP","SR","CD",2,200
"147","PYW_C_2014","PYW_C","PYW","C",2014,1,0,0,0,0,0.13,0.88,0.38,0.63,0.63,1,3,4,3,1,138,149,165,182,197,6.33333333333333,7.03333333333333,6.08333333333333,6.25,8.43333333333333,"SR","CD","CD","CD","SBN",2,200
"148","PYW_C_2016","PYW_C","PYW","C",2016,1,1,0,1,0,0.13,0.63,0.13,0.38,0.38,2,2.4,1,3,3,151,168,179,193,217,6.58333333333333,7.03333333333333,9.31666666666667,8.55,6.68333333333333,"SR","SBN","JJC","ACW","SR",2,200
"149","PYW_C_2017","PYW_C","PYW","C",2017,0,1,3,0,1,0.13,0.13,0.13,0.13,0.13,3,2,3,2,2,149,160,175,189,201,8.75,8.96666666666667,9.41666666666667,8.68333333333333,8.2,"SR","ALL","JJC","SR","ALL",2,200
"150","PYW_C_2018","PYW_C","PYW","C",2018,0,0,0,0,1,0.38,0.88,0.88,0.13,0.88,3,3,1,2,1,145,160,174,188,199,6.25,6.28333333333333,6.5,6.95,6.6,"JJC","TMS","JJC","BJE","TMS",2,200
"151","PYW_C_2021","PYW_C","PYW","C",2021,1,0,0,0,0,0.13,0.38,0.63,0.38,0.13,3,2,2,1,1,154,165,179,189,201,8.11666666666667,7.91666666666667,8.98333333333333,6.36666666666667,6.8,"JJC","JEM","WPT","JJC","JJC",2,200
"152","PYW_N_2010","PYW_N","PYW","N",2010,0,1,0,0,0,0.13,0.13,0.63,0.13,0.63,2,1,3,2,3,139,148,158,175,189,8.45,6.25,8.03333333333333,8.88333333333333,6.66666666666667,"TH","TL","SR","SR","TH",2,200
"153","PYW_N_2016","PYW_N","PYW","N",2016,0,0,1,NA,0,0.13,0.38,0.13,0.37,0.38,2,2,1,2.29,3,151,168,179,182.77,217,6.33333333333333,6.66666666666667,9.58333333333333,7.79,6.48333333333333,"SR","SBN","JJC",NA,"SR",2,200
"154","PYW_N_2021","PYW_N","PYW","N",2021,0,0,0,1,0,0.13,0.38,0.63,0.38,0.38,2,2,2,1,1,154,165,179,189,201,7.83333333333333,6.55,8.66666666666667,5.95,6.53333333333333,"JJC","JEM","WPT","JJC","JJC",2,200
"155","PYW_N_2022","PYW_N","PYW","N",2022,0,0,0,0,1,0.13,0.13,0.63,0.88,0.63,2,3,2,2,3,154,169,183,189,196,6.18333333333333,8.93333333333333,6.33333333333333,7.58333333333333,7.58333333333333,"JJC","NGP","JLS","HKG","JLS",2,200
"156","PYW_S_2010","PYW_S","PYW","S",2010,1,0,1,0,1,0.13,0.13,0.63,0.13,0.63,2,1,3,2,3,139,148,158,175,189,9.26666666666667,7.11666666666667,8.58333333333333,9.4,7.25,"TH","TL","SR","SR","TH",3.5,350
"157","PYW_S_2016","PYW_S","PYW","S",2016,1,1,0,0,0,0.13,0.63,0.13,0.38,0.38,2,2,1,3,3,151,168,179,193,217,8.18333333333333,7.33333333333333,8.86666666666667,8.96666666666667,6.9,"SR","SBN","JJC","ACW","SR",3.5,350
"158","PYW_S_2017","PYW_S","PYW","S",2017,0,0,2,0,0,0.13,0.13,0.13,0.13,0.13,3,2,3,2,2,149,160,175,189,201,9.01666666666667,9.26666666666667,9.68333333333333,7.6,8.46666666666667,"SR","ALL","JJC","SR","ALL",3.5,350
"159","RC2_C_2016","RC2_C","RC2","C",2016,1,1,0,2,1,0.13,0.13,0.38,0.63,0.63,1,1,3,4,1,150,164,177,196,212,6.66666666666667,6.6,8.5,9.35,9.2,"JJC","SR","ACW","SBN","JJC",2,200
"160","RC2_C_2017","RC2_C","RC2","C",2017,0,0,0,2,3,0.63,0.38,0.63,0.13,0.38,2,4,2,2,2,149,161,174,192,202,6.2,7.55,6.7,7.98333333333333,6.41666666666667,"JJC","ALL","JJC","JD","JD",2,200
"161","RC2_C_2018","RC2_C","RC2","C",2018,0,0,0,1,0,0.38,0.88,0.88,0.13,0.13,3,1,4,1,3,145,163,172,188,201,6.5,7.36666666666667,6.46666666666667,7.9,9.16666666666667,"TMS","TMS","TMS","TMS","TMS",2,200
"162","RC2_N_2016","RC2_N","RC2","N",2016,1,0,0,1,2,0.13,0.13,0.38,0.63,0.63,1,1,3,3,1,150,164,177,196,212,7.03333333333333,6.81666666666667,8.85,9.68333333333333,9.56666666666667,"JJC","SR","ACW","SBN","JJC",2,200
"163","RC2_N_2018","RC2_N","RC2","N",2018,0,0,0,1,0,0.38,0.88,0.88,0.13,0.13,3,1,4,2,3,145,163,172,188,201,6.75,7.53333333333333,6.7,8.03333333333333,9.36666666666667,"TMS","TMS","TMS","TMS","TMS",2,200
"164","RC2_S_2015","RC2_S","RC2","S",2015,0,0,0,1,0,0.38,0.13,0.13,0.88,0.88,2,1,4,2,2,148,160,176,189,210,5.85,7.1,6.45,6.13333333333333,6.43333333333333,"BSV","BSV","SR","BSV","BSV",2,200
"165","RC2_S_2016","RC2_S","RC2","S",2016,2,0,0,0,2,0.13,0.13,0.38,0.63,0.63,1,1,3,2,1,150,164,177,196,212,6.28333333333333,7.1,8.11666666666667,9.05,8.9,"JJC","SR","ACW","SBN","JJC",2,200
"166","RC2_S_2017","RC2_S","RC2","S",2017,0,0,0,1,0,0.63,0.13,0.63,0.13,0.38,2,4,2,2,1,149,161,174,190,202,6,7.31666666666667,6.46666666666667,7.45,6.2,"JJC","ALL","JJC","JD","JD",2,200
"167","RC2_S_2018","RC2_S","RC2","S",2018,0,0,0,0,1,0.38,0.88,0.88,0.13,0.13,3,1,4,1,3,145,163,172,188,201,6.21666666666667,7.15,6.23333333333333,7.7,9,"TMS","TMS","TMS","TMS","TMS",2,200
"168","RCH2007_N_2008","RCH2007_N","RCH2007","N",2008,2,0,0,1,1,0.13,0.38,0.88,0.88,0.38,1,2,2,3,2,135,140,156,165,177,6.68333333333333,7.43333333333333,6.91666666666667,9.93333333333333,6.15,"CW","JF","CW","SR","JF",1.96,196.16
"169","RCH2007_N_2009","RCH2007_N","RCH2007","N",2009,0,1,1,1,1,0.38,0.13,0.13,0.13,0.13,3,1,2,2,1,155,160,168,180,188,8.83333333333333,8.83333333333333,9,9.2,6.81666666666667,"JO","EH","JO","FP","EH",1.96,196.16
"170","RCH2007_N_2011","RCH2007_N","RCH2007","N",2011,0,0,1,1,0,0.13,0.13,0.13,0.88,0.13,4,4,2,1,2,143,154,158,167,183,9.08333333333333,8.33333333333333,7.18333333333333,9.63333333333333,6.3,"SR","CP","SR","SR","CP",2,200
"171","RCH2007_S_2007","RCH2007_S","RCH2007","S",2007,0,0,0,0,1,0.13,0.88,0.13,0.13,0.13,1,1,3,1,3,145,151,156,166,176,6.78333333333333,6.66666666666667,7.33333333333333,6.48333333333333,9.7,"JF","FP","JF","CW","FP",2.85,285
"172","RCH2007_S_2009","RCH2007_S","RCH2007","S",2009,0,1,0,1,0,0.38,0.13,0.13,0.13,0.13,3,1,2,2,1,155,160,168,180,188,9.03333333333333,9.03333333333333,8.48333333333333,9.36666666666667,7,"JO","EH","JO","FP","EH",2.85,285
"173","RCH2007_S_2010","RCH2007_S","RCH2007","S",2010,0,0,0,1,0,0.13,0.13,0.38,0.13,0.63,4,1,3,1,2,144,152,168,180,189,8.41666666666667,7.9,7.9,7.26666666666667,7.75,"SR","TL","TL","TL","TL",3,300
"174","RCH2007_W_2009","RCH2007_W","RCH2007","W",2009,0,0,1,0,0,0.38,0.13,0.13,0.13,0.13,3,1,2,2,1,155,160,168,180,188,8.63333333333333,8.63333333333333,8.33333333333333,8.98333333333333,6.55,"JO","EH","JO","FP","EH",2.46,246.01
"175","RCH2007_W_2011","RCH2007_W","RCH2007","W",2011,0,0,0,0,1,0.13,0.13,0.13,0.88,0.13,4,4,2,1,2,143,154,158,167,183,8.9,8.16666666666667,6.93333333333333,9.46666666666667,6.06666666666667,"SR","CP","SR","SR","CP",3,300
"176","RCH2014_C_2014","RCH2014_C","RCH2014","C",2014,0,0,0,1,0,0.13,0.38,0.63,0.13,0.13,2,4,2,2,1,138,152,167,184,198,7.85,7.98333333333333,6.08333333333333,9.11666666666667,8.5,"CD","CD","CD","ORG","CD",3,300
"177","RCH2014_C_2017","RCH2014_C","RCH2014","C",2017,3,0,0,1,1,0.38,0.13,0.38,0.63,0.13,1,4,3,4,1,149,161,174,191,202,6.3,6,7.7,6.21666666666667,7.25,"JD","ALL","JJC","ALL","JD",3,300
"178","RCH2014_E_2014","RCH2014_E","RCH2014","E",2014,2,1,2,0,4,0.13,0.38,0.63,0.13,0.13,2,4,2,3,1,138,152,167,184,198,8.1,8.25,6.35,9.61666666666667,8.73333333333333,"CD","CD","CD","ORG","CD",3,300
"179","RCH2014_E_2016","RCH2014_E","RCH2014","E",2016,1,0,2,3,1,0.38,0.88,0.38,0.38,0.63,1,4,3,3,1,153,163,177,196,212,6.65,9.3,7.18333333333333,8.35,8.25,"SR","SR","ACW","SBN","JJC",3,300
"180","RCH2014_E_2017","RCH2014_E","RCH2014","E",2017,1,0,0,0,1,0.63,0.13,0.38,0.63,0.13,2,4,3,4,2,149,161,174,191,202,6.83333333333333,6.48333333333333,8.1,6.63333333333333,7.61666666666667,"JD","ALL","JJC","ALL","JD",3,300
"181","RCH2014_E_2018","RCH2014_E","RCH2014","E",2018,0,0,0,2,0,0.38,0.13,0.88,0.13,0.13,3,2,4,1,4,145,161,172,188,201,7.93333333333333,6.9,7.96666666666667,7.01666666666667,9.5,"TMS","SR","JJC","JJC","TMS",3,300
"182","RIN_E_2007","RIN_E","RIN","E",2007,1,0,0,0,2,0.38,0.38,0.13,0.13,0.13,3,4,1,1,2,148,157,165,176,186,8.91666666666667,6.26666666666667,6.33333333333333,9.43333333333333,7.56666666666667,"JF","JF","FP","JF","FP",2.25,224.96
"183","RIN_E_2008","RIN_E","RIN","E",2008,0,0,1,0,0,0.13,0.38,0.13,0.38,0.88,4,4,2,4,3,133,140,142,150,160,9.48333333333333,6.93333333333333,9.8,8.3,8.7,"JF","SR","SR","FP","CW",2.25,224.96
"184","RIN_E_2010","RIN_E","RIN","E",2010,0,0,0,0,2,0.13,0.38,0.13,0.13,0.38,4,3,3,3,3,142,152,160,181,189,9.51666666666667,8.8,8.7,7.38333333333333,8.95,"SR","SR","SR","SR","TL",3,300
"185","RIN_E_2011","RIN_E","RIN","E",2011,1,0,0,1,1,0.13,0.13,0.13,0.38,0.13,2,3,3,2,3,143,152,157,167,179,7.8,7.26666666666667,8.15,8.16666666666667,9.25,"CP","SR","SR","CP","SR",3,300
"186","RIN_E_2013","RIN_E","RIN","E",2013,0,1,1,2,1,0.13,0.88,0.88,0.13,0.88,2,1,1,3,3,137,156,168,177,189,7.21666666666667,9,9.08333333333333,8.23333333333333,9.76666666666667,"SR","CD","AM","AM","AM",3,300
"187","RIN_E_2015","RIN_E","RIN","E",2015,2,0,1,0,2,0.38,0.88,0.13,0.38,0.38,2,4,4,2,1,142,157,171,194,214,8.25,9.05,9.25,6.61666666666667,6.96666666666667,"BSV","BSV","SR","BSV","JJC",3,300
"188","RIN_E_2016","RIN_E","RIN","E",2016,1,0,0,1,1,0.38,0.63,0.38,0.13,0.63,3,4,4,3,1,152,163,177,197,211,8.68333333333333,6.88333333333333,9.11666666666667,7.36666666666667,8.53333333333333,"JJC","SR","SBN","SR","ACW",3,300
"189","RIN_E_2018","RIN_E","RIN","E",2018,2,1,2,3,0,0.38,0.38,0.88,0.13,0.13,3,1,4,1,4,145,163,178,189,202,9.11666666666667,7.6,9.5,7.16666666666667,9.01666666666667,"TMS","JJC","BJE","JJC","JJC",3,300
"190","RIN_E_2022","RIN_E","RIN","E",2022,0,0,0,2,0,0.38,0.63,0.63,0.13,0.88,2,3,2,2,1,154,166,177,190,198,9.7,9,7.78333333333333,6.71666666666667,8.98333333333333,"HKG","JLS","WPT","NGP","HKG",3,300
"191","RIN_S_2007","RIN_S","RIN","S",2007,2,NA,2,0,0,0.63,0.37,0.13,0.13,0.13,1,2.4,1,1,1,148,158.38,165,176,186,8.9,7.61,6.85,9.15,7.21666666666667,"CW",NA,"FP","JF","FP",1.62,161.97
"192","RIN_S_2008","RIN_S","RIN","S",2008,0,1,0,1,0,0.13,0.63,0.13,0.38,0.88,2,4,2,3,2,133,140,142,150,161,9.16666666666667,6.63333333333333,9.5,7.98333333333333,8.68333333333333,"JF","SR","SR","FP","SR",1.62,161.97
"193","RIN_S_2010","RIN_S","RIN","S",2010,0,1,0,0,1,0.13,0.38,0.13,0.13,0.38,4,3,3,3,3,142,152,160,181,189,9.23333333333333,8.46666666666667,8.41666666666667,7.03333333333333,8.46666666666667,"SR","SR","SR","SR","TL",1,100
"194","RIN_S_2011","RIN_S","RIN","S",2011,1,0,0,2,0,0.13,0.13,0.13,0.38,0.13,3,3,3,1,3,143,152,157,167,179,7.51666666666667,7,7.86666666666667,7.96666666666667,8.93333333333333,"CP","SR","SR","CP","SR",1,100
"195","RIN_S_2013","RIN_S","RIN","S",2013,3,1,3,2,3,0.13,0.88,0.88,0.13,0.63,2,2,1,2,3,137,156,168,177,189,6.93333333333333,8.71666666666667,8.66666666666667,7.83333333333333,9.46666666666667,"SR","CD","AM","AM","AM",1,100
"196","RIN_S_2014","RIN_S","RIN","S",2014,1,NA,NA,NA,NA,0.13,0.37,0.43,0.37,0.37,2,2.4,2.32,2.29,2.15,164,158.38,169.67,182.77,195.25,8.01666666666667,7.61,7.59,7.79,7.82,"ORG",NA,NA,NA,NA,1,100
"197","RIN_S_2015","RIN_S","RIN","S",2015,0,1,0,0,0,0.38,0.88,0.13,0.38,0.38,2,2,4,2,1,142,157,171,194,214,7.91666666666667,8.75,9,6.26666666666667,6.56666666666667,"BSV","BSV","SR","BSV","JJC",1,100
"198","RIN_S_2016","RIN_S","RIN","S",2016,0,0,1,0,0,0.38,0.63,0.38,0.13,0.63,2,3,3,2,1,152,163,177,197,211,8.33333333333333,6.53333333333333,8.71666666666667,7.03333333333333,8.06666666666667,"JJC","SR","SBN","SR","ACW",1,100
"199","RIN_S_2018","RIN_S","RIN","S",2018,2,2,1,2,2,0.38,0.63,0.88,0.13,0.13,3,1,4,1,2,145,163,173,189,202,8.8,7.26666666666667,9.16666666666667,6.65,8.71666666666667,"TMS","JJC","BJE","JJC","JJC",1,100
"200","RIN_S_2022","RIN_S","RIN","S",2022,1,0,0,2,0,0.38,0.63,0.63,0.13,0.88,2,3,2,2,1,154,166,177,190,198,9.31666666666667,8.56666666666667,7.26666666666667,6.2,8.51666666666667,"HKG","JLS","WPT","NGP","HKG",1,100
"201","RIN_S_2023","RIN_S","RIN","S",2023,0,1,0,0,1,0.63,0.13,0.38,0.38,0.13,1,2,2,1,1,158,170,179,190,194,9.55,8.65,6.41666666666667,8.31666666666667,9.06666666666667,"JJC","WPT","JJC","HKG","JJC",1,100
"202","RIN_W_2007","RIN_W","RIN","W",2007,2,2,3,0,1,0.38,0.63,0.13,0.13,0.13,3,4,2,1,1,148,157,165,176,186,9.11666666666667,6.43333333333333,6.63333333333333,9.13333333333333,7.31666666666667,"JF","JF","FP","JF","FP",2.53,252.94
"203","RIN_W_2008","RIN_W","RIN","W",2008,0,0,0,2,1,0.13,0.63,0.13,0.38,0.88,2,2,2,3,2,133,140,142,150,161,9.25,6.66666666666667,9.71666666666667,8.18333333333333,8.76666666666667,"JF","JF","SR","FP","SR",2.53,252.94
"204","RIN_W_2009","RIN_W","RIN","W",2009,0,0,0,1,0,0.38,0.13,0.88,0.37,0.13,1,1,2,2.29,1,155,160,167,183,188,6.8,6.91666666666667,9.7,7.88333333333333,9.45,"SR","SR","SR","FP","EH",2.53,252.94
"205","RIN_W_2010","RIN_W","RIN","W",2010,0,3,1,1,0,0.13,0.38,0.13,0.13,0.63,4,3,3,3,3,142,152,160,181,189,9.3,8.56666666666667,8.5,7.13333333333333,8.6,"SR","SR","SR","SR","TL",2,200
